DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2022-10-28,3.250,3.000,4.120,4.175,3.950,"1,418.10","103,890","103,880","1,018,336","693,937",103880.82,"55,475","55,490","140,834",645,55507.88,"106,155","105,985","161,627","185,006",106034.73,"104,995","104,570","406,777","17,534",104494.99,"56,070","55,755","9,813",665,55823.53,"29,690","29,525","5,189,019","8,458,719",29579.23,"5,160","5,190","827,286","42,952,682",5192.22
2022-10-27,3.250,3.000,4.260,4.315,3.940,"1,428.20","103,870","103,890","1,013,239","528,196",103840.3,"55,380","55,410","140,631","202,869",55266.14,"106,300","106,375","179,136","294,543",106515.78,"104,995","103,735","403,529","116,108",103289.62,"56,140","56,285","9,906",28,56518.46,"29,670","30,015","5,272,135","7,998,093",29956.22,"5,180","5,120","816,640","28,416,209",5126.19
2022-10-26,3.250,3.000,4.218,4.282,3.940,"1,436.50","103,845","103,870","1,013,044","1,278,896",103848.07,"55,210","55,355","137,723","1,140",55326.75,"106,420","106,305","194,007","187,168",106435.75,"103,120","103,995","399,341","19,846",103541.19,"56,640","56,160","9,884",86,56328.19,"29,290","29,500","5,084,325","3,811,327",29563.08,"5,255","5,215","830,750","29,904,535",5213.42
2022-10-25,3.250,3.000,4.215,4.340,3.930,"1,436.60","103,870","103,870","1,063,525","250,843",103854.71,"55,140","55,310","137,611","66,877",55303.23,"106,865","106,515","189,384","159,101",106459.03,"102,055","102,830","394,867","29,756",103114.28,"57,505","56,760","4,995",99,56610.84,"29,295","29,300","5,061,575","6,172,207",29336.65,"5,255","5,250","824,250","24,634,743",5253.75
2022-10-24,3.250,3.000,4.315,4.520,3.920,"1,436.60","103,855","103,870","1,063,525","187,247",103845.09,"55,330","55,145","137,201","1,190",55109.87,"106,750","106,745","189,793","188,939",106808.41,"101,250","102,050","386,770","27,249",101698.05,"57,420","57,250","5,038","88,328",57425.54,"29,440","29,255","5,194,225","7,609,488",29325.16,"5,215","5,260","802,150","25,025,844",5245.49
2022-10-21,3.250,3.000,4.462,4.620,3.900,"1,431.70","103,885","103,885","1,063,679","228,647",103816.79,"55,035","54,790","110,018","69,895",54878.06,"106,955","107,285","185,067",7,107203.66,"102,500","100,580","363,094","37,802",100885.39,"57,245","58,005","5,104",156,57843.47,"28,840","28,985","5,082,520","6,552,147",29036.1,"5,335","5,310","808,182","26,183,370",5306.95
2022-10-20,3.250,3.000,4.350,4.435,3.850,"1,420.60","103,880","103,885","1,063,679","580,349",103841.52,"55,085","55,115","112,876","473,132",55069.16,"106,840","106,755","184,152","55,052",106828.26,"102,485","102,555","370,224","186,084",102298.75,"57,000","56,925","5,009",87,57027.43,"29,045","28,925","5,064,768","8,545,515",29040.23,"5,300","5,315","822,231","44,806,911",5324.73
2022-10-19,3.250,3.000,4.336,4.405,3.810,"1,425.60","103,850","103,870","1,063,525","8,470",103843.98,"55,175","55,210","113,070",767,55110.98,"106,515","106,680","184,023",9,106800.1,"103,605","102,760","374,046","18,024",102550.58,"56,495","56,745","4,994",9,56898.82,"29,470","29,210","5,069,396","8,116,868",29308.21,"5,225","5,270","805,783","25,369,474",5275.44
2022-10-18,3.250,3.000,4.250,4.287,3.760,"1,436.60","103,875","103,880","1,033,087","8,390",103857.48,"55,275","55,295","113,244","4,880",55247.51,"106,445","106,455","183,635",42,106472.27,"104,220","103,605","377,122","25,379",103479.25,"56,325","56,355","4,959",7,56363.12,"29,500","29,450","4,937,293","6,971,894",29538.35,"5,220","5,225","876,233","25,919,765",5218.63
2022-10-17,3.250,3.000,4.250,4.232,3.700,"1,428.90","103,875","103,885","1,034,798","12,661",103851.78,"55,255","55,330","113,316","7,050",55271.12,"106,470","106,315","183,393",5,106444.48,"104,000","104,180","374,006","18,877",103885.54,"56,340","55,975","4,926",7,56150.9,"28,670","29,075","4,960,195","7,384,949",29136.72,"5,360","5,295","912,329","31,585,474",5312.86
2022-10-14,3.250,3.000,4.200,4.180,3.660,"1,427.00","103,820","103,860","1,014,920","18,747",103851.96,"55,235","55,355","113,367","1,686",55354.9,"106,570","106,365","183,480",67,106270.34,"104,400","104,195","373,018","13,462",104301.62,"56,345","56,015","4,929",65,55917.72,"28,780","29,055","4,888,504","10,890,572",29115,"5,350","5,295","917,624","48,108,360",5283.97
2022-10-13,3.250,3.000,4.202,4.230,3.660,"1,430.40","103,840","103,860","1,088,453","38,638",103824.42,"55,515","55,375","113,187","2,537",55334.29,"105,980","106,285","173,245",12,106301.73,"104,850","103,885","371,908","22,336",103901.86,"55,740","56,215","4,947",383,56159.37,"28,720","28,365","4,867,434","11,078,773",28435.88,"5,365","5,435","885,905","29,891,706",5439.76
2022-10-12,3.250,3.000,4.102,4.092,3.630,"1,433.50","103,840","103,840","1,088,243","1,854,747",103831,"55,200","55,530","113,503","24,875",55503.48,"106,710","106,005","178,936","103,130",105991.81,"103,275","104,850","374,315","12,304",105028.87,"56,510","55,640","4,896",7,55570.68,"28,525","28,825","4,871,425","9,665,913",28888.12,"5,400","5,345","897,960","33,890,222",5345.5
2022-10-11,3.250,2.500,4.345,4.310,3.320,"1,410.30","103,850","103,830","1,093,226","1,028,012",103809.78,"55,100","55,205","112,839","14,913",55122.48,"106,830","106,660","180,042",134,106730.78,"103,790","103,290","368,745","27,039",103232.89,"56,465","56,465","4,969",381,56529.1,"28,600","28,580","4,870,032","10,921,720",28675.11,"5,390","5,395","915,532","51,844,032",5401.26
2022-10-07,3.250,2.500,4.278,4.210,3.320,"1,404.20","103,815","103,845","1,093,384","241,454",103817.78,"55,760","55,245","112,921","9,291",55242.44,"106,415","106,500","200,114","47,820",106544.75,"104,840","103,995","371,262","16,769",104051.65,"56,005","56,055","4,933",54,56086.7,"28,970","29,175","4,923,281","10,320,186",29221.21,"5,315","5,280","908,160","44,105,953",5292.75
2022-10-06,3.250,2.500,4.150,4.100,3.320,"1,419.10","103,785","103,810","1,129,349","1,085,445",103791.55,"55,495","55,450","113,340",882,55409.4,"106,270","106,075","204,300",4,106095.15,"105,255","104,860","383,788","10,355",104918.63,"55,920","55,590","4,892",7,55560.33,"29,200","29,285","4,971,129","12,374,324",29306.18,"5,275","5,260","978,886","41,310,718",5268.78
2022-10-05,3.250,2.500,4.172,4.105,3.320,"1,431.20","103,755","103,775","1,128,968","2,235,571",103779.09,"55,580","55,495","113,432","1,395",55389.95,"105,800","106,055","204,262","194,634",106148.2,"105,545","105,255","385,233","20,072",104859.47,"55,140","55,505","4,884",23,55634.12,"29,465","28,965","4,828,466","10,693,954",29085.29,"5,225","5,315","992,311","35,389,462",5299.95
2022-10-04,3.250,2.500,4.070,3.990,3.280,"1,432.10","103,735","103,750","1,134,921","2,023,081",103774.64,"55,040","55,595","113,859","7,027",55560.85,"103,500","105,830","203,829","48,771",105841.18,"106,490","105,545","381,017","34,930",105777.28,"55,250","55,130","5,513",35,55181.44,"28,685","28,960","4,879,760","4,502,303",29006.59,"5,370","5,315","974,240","42,959,964",5306.91
2022-09-30,3.250,2.500,4.185,4.082,3.240,"1,434.80","103,705","103,735","1,276,874","1,629,842",103743.27,"55,470","55,280","112,992","1,159",55324.45,"106,310","106,330","206,918",8,106309.39,"102,565","104,760","370,850","38,941",104986.77,"55,670","55,610","5,561",24,55500.07,"28,290","28,275","4,728,994","7,626,010",28314.55,"5,445","5,445","1,014,948","55,051,717",5451.57
2022-09-29,3.250,2.500,4.302,4.230,3.200,"1,436.50","103,630","103,695","1,275,241","692,144",103681.05,"55,440","55,060","112,543","4,276",55090.1,"106,190","106,725","206,620",38,106656.9,"103,575","103,800","367,452","18,116",103714.14,"55,570","56,205","5,621",71,56200.02,"28,740","28,400","4,730,020","7,949,033",28443.77,"5,355","5,420","1,035,762","35,192,427",5406.15
2022-09-28,3.250,2.500,4.335,4.330,3.140,"1,427.20","103,630","103,630","1,242,938","897,402",103632.72,"54,995","55,185","112,909","13,384",54978.22,"106,880","106,455","184,380","10,047",106777.76,"103,910","103,575","348,012","67,813",102939.97,"56,655","56,075","5,608",52,56595.14,"28,770","28,390","4,738,291","12,791,896",28411.39,"5,350","5,420","948,500","45,728,993",5438.21
2022-09-27,3.250,2.500,4.310,4.210,3.120,"1,429.70","103,595","103,630","1,300,971","260,089",103630.47,"54,825","55,155","112,847","11,893",55055.56,"107,590","106,655","189,846","401,417",106653.48,"103,160","103,940","349,238","19,239",103873.82,"56,710","56,005","4,928",200,55913.71,"29,075","29,105","4,888,185","8,734,976",29113.89,"5,305","5,295","949,923","33,215,241",5299.88
2022-09-26,3.250,2.500,4.545,4.332,3.090,"1,408.40","103,665","103,620","1,324,367","732,865",103568.04,"55,255","54,825","112,172","1,170",54697.39,"106,660","107,200","195,854",93,107458.21,"104,995","103,160","346,618","39,817",102750.11,"56,035","56,470","4,969",156,56608.01,"29,400","29,050","4,860,065","10,502,045",29070.58,"5,250","5,310","928,188","50,050,203",5306.16
2022-09-23,3.250,2.500,4.200,4.127,3.070,"1,408.00","103,690","103,640","1,325,556","1,557,828",103656.08,"55,325","55,365","115,381",822,55235.55,"106,265","106,160","193,954","47,516",106366.74,"104,850","104,710","351,826","42,976",104535.45,"55,675","55,650","4,897",521,55729.15,"30,145","29,780","4,947,947","9,183,764",29869.47,"5,115","5,175","922,185","22,261,635",5175.39
2022-09-22,3.250,2.500,4.110,4.005,3.040,"1,393.60","103,770","103,730","1,406,475","177,011",103664.77,"56,090","55,460","115,579","3,701",55375.23,"105,595","105,915","187,575","47,558",106095.1,"106,200","105,755","355,337","21,279",105533.44,"54,750","55,075","4,847",213,55221.65,"30,115","30,150","4,928,018","13,016,865",30261.14,"5,130","5,115","901,263","32,780,410",5122.14
2022-09-21,2.500,2.500,3.845,3.883,3.020,"1,389.10","103,770","103,765","1,469,209","21,994",103747.64,"55,805","55,790","116,266","2,069",55773.11,"105,355","105,355","186,584","150,030",105294.35,"107,260","106,575","358,092","114,660",106629.88,"54,685","54,720","4,815",492,54644.97,"30,535","30,480","4,981,956","7,105,697",30561.76,"5,050","5,065","901,570","25,304,242",5066.99
2022-09-20,2.500,2.500,3.825,3.840,3.000,"1,390.10","103,740","103,765","1,255,141","23,187",103746.16,"55,925","55,870","117,662","3,330",55804.22,"105,040","105,125","141,919","19,005",105249.92,"107,000","107,260","360,394","8,435",106980.87,"54,215","54,390","4,786",228,54520.75,"30,875","30,765","5,137,755","5,210,543",30849.38,"4,990","5,010","895,788","18,084,918",5015.63
2022-09-19,2.500,2.500,3.760,3.785,2.990,"1,394.20","103,760","103,755","1,213,622","72,730",103752.02,"55,985","55,950","118,278","3,251",55923.1,"105,000","105,040","146,846","989,065",104999.88,"107,585","107,410","360,898","9,149",107470.35,"54,155","54,330","4,781",337,54269.06,"30,950","30,660","5,140,149","6,177,702",30744.15,"4,990","5,030","914,454","22,009,298",5026.06
2022-09-16,2.500,2.500,3.770,3.770,2.970,"1,394.20","103,750","103,750","1,249,669","46,631",103736.39,"55,885","55,895","118,162","8,760",55918.33,"105,100","105,015","152,062","237,613",105058.4,"107,520","107,580","365,772","6,740",107597.03,"54,285","54,140","4,764",108,54205.14,"30,805","30,880","5,227,984","8,142,741",30964.05,"5,005","5,000","838,500","29,602,090",5009.64
2022-09-15,2.500,2.500,3.765,3.790,2.960,"1,391.70","103,735","103,735","1,244,613","10,294",103716.16,"56,175","55,940","118,257","13,992",55900.25,"104,645","105,095","152,178","95,404",105017.96,"108,735","107,515","435,436","20,933",107403.64,"53,685","54,300","4,778",7,54239.78,"31,345","31,100","5,095,735","7,403,788",31159.35,"4,915","4,960","903,712","25,552,862",4953.57
2022-09-14,2.500,2.500,3.580,3.625,2.940,"1,374.80","103,715","103,735","1,246,480","26,349",103734.88,"55,825","56,130","118,098","63,667",56200.78,"104,820","104,550","151,388","50,843",104516.3,"108,800","108,720","440,316","43,732",108891.17,"53,900","53,665","4,723",29,53569.37,"30,990","31,275","5,168,194","7,826,668",31368.97,"4,970","4,925","905,708","49,921,646",4932.92
2022-09-13,2.500,2.500,3.520,3.600,2.930,"1,381.20","103,700","103,680","1,263,444","7,788",103728.42,"56,150","56,270","116,929","7,645",56288.36,"104,660","104,490","155,272",320,104350.78,"109,610","108,795","435,180","12,319",109119.67,"53,750","53,685","4,724",37,53469.29,"31,495","31,905","5,269,111","5,592,132",31951.44,"4,895","4,830","858,774","48,107,902",4818.77
2022-09-08,2.500,2.500,3.547,3.620,2.930,"1,385.30","103,695","103,700","1,261,614","10,795",103716.75,"58,000","56,255","116,335","1,935",56231.24,"104,730","104,480","160,272",71,104520.11,"108,185","108,880","435,520","14,410",108935.69,"53,845","53,720","4,727",6,53553.92,"31,085","30,930","5,067,881","6,406,307",31006.67,"4,965","4,985","918,237","15,646,563",4994
2022-09-07,2.500,2.500,3.685,3.740,2.930,"1,370.30","103,645","103,690","1,263,359","14,474",103661.33,"55,690","56,005","115,818","9,069",55975.21,"105,100","104,935","164,328","38,447",104916,"107,050","107,810","431,240","11,648",107860.74,"54,235","54,070","4,758",7,54064.29,"31,110","30,870","5,082,746","9,564,382",30910.17,"4,965","5,005","911,411","36,804,641",5012.45
2022-09-06,2.500,2.500,3.680,3.712,2.930,"1,369.70","103,630","103,660","1,252,627","22,479",103649.95,"56,065","56,010","114,596","6,803",55970.35,"104,745","104,865","182,885","47,509",104916.74,"108,995","108,130","426,032","18,524",108075.94,"53,710","53,880","4,741",13,53929.43,"31,400","31,325","5,267,299","7,524,220",31395.25,"4,925","4,930","914,515","26,966,296",4930.24
2022-09-05,2.500,2.500,3.615,3.665,2.930,"1,356.50","103,615","103,630","1,241,902","35,763",103644.16,"55,960","56,275","115,139","36,372",56054.98,"104,900","104,760","182,701","160,506",104738.33,"107,815","108,470","427,372","62,303",108474.8,"54,015","53,765","4,731",493,53706.97,"31,320","31,325","5,387,900","7,281,688",31341.06,"4,935","4,930","911,557","38,979,761",4941.97
2022-09-02,2.500,2.500,3.682,3.730,2.930,"1,351.40","103,610","103,605","1,243,467","24,609",103619.91,"55,770","55,960","114,494","1,393",55926.65,"105,165","104,955","183,251",5,104992.76,"107,330","107,815","421,557","35,159",107913.2,"54,145","54,030","4,755",19,54021.44,"31,635","31,325","5,386,334","10,253,320",31386.23,"4,885","4,935","917,417","28,221,988",4912.94
2022-09-01,2.500,2.500,3.790,3.812,2.920,"1,345.10","103,590","103,610","1,244,356","99,644",103577.66,"55,840","55,770","114,105","8,105",55733.33,"105,305","105,340","187,400","94,241",105354.45,"107,200","107,330","419,660","133,379",107202.32,"54,275","54,340","4,782",490,54346.46,"31,820","31,500","5,455,800","13,628,110",31596.22,"4,855","4,910","904,913","34,069,632",4902.44
2022-08-31,2.500,2.500,3.679,3.712,2.920,"1,347.50","103,585","103,590","1,264,420","227,773",103582.83,"56,070","55,870","114,310","1,572",55879.41,"104,960","105,110","191,195","47,516",105042.42,"108,155","107,630","410,070","29,191",108032.68,"53,805","54,040","4,756",422,53923.58,"31,690","32,230","5,709,545","7,892,835",32390.91,"4,870","4,790","837,292","26,580,541",4805.09
2022-08-30,2.500,2.500,3.650,3.692,2.920,"1,347.70","103,565","103,560","1,261,257","466,533",103579.92,"55,875","55,980","114,535","3,139",55917.14,"105,005","104,950","196,152","32,408",104946.3,"108,095","108,155","406,663","13,718",108196.42,"53,820","53,850","4,739",66,53813.67,"31,790","31,985","5,667,742","4,446,039",32043.26,"4,860","4,825","840,998","21,236,855",4828.21
2022-08-29,2.500,2.500,3.660,3.707,2.920,"1,332.50","103,570","103,585","1,261,562","1,526,699",103563.4,"56,030","55,875","114,320","4,295",55881.19,"104,775","104,985","201,256","40,008",105051.83,"108,600","108,095","406,437","46,948",108039.99,"53,740","53,850","4,739",620,53908.88,"31,645","31,640","5,234,838","6,758,410",31729.2,"4,885","4,875","829,238","35,063,193",4886.28
2022-08-26,2.500,2.500,3.535,3.621,2.920,"1,336.90","103,590","103,545","1,261,075","1,071,972",103578.62,"56,205","56,135","120,466","2,309",56092.74,"104,420","104,510","200,346","50,047",104605.4,"109,045","108,760","408,938","22,674",108791.62,"53,235","53,470","4,705",26,53520.25,"32,555","32,420","5,470,875","4,996,787",32484.71,"4,740","4,765","807,668","12,673,300",4756.21
2022-08-25,2.500,2.500,3.535,3.585,2.920,"1,341.40","103,635","103,625","1,241,324","1,651,278",103556.89,"56,430","56,100","120,166","3,788",56113.63,"103,910","104,475","200,279","48,041",104520.19,"110,770","109,015","409,896","30,079",109095.12,"52,860","53,390","4,698",919,53284.3,"32,150","32,400","5,333,040","5,407,046",32458.23,"4,810","4,765","815,292","17,665,863",4766.55
2022-08-24,2.500,2.250,3.315,3.440,2.760,"1,341.80","103,650","103,630","1,241,280","3,122,551",103610.08,"56,570","56,485","120,991","7,206",56446.44,"103,690","103,840","199,061",4,103835.92,"110,985","110,385","415,048","14,597",110378.61,"52,475","52,755","4,642",149,52719.39,"32,000","32,025","5,287,328","5,808,668",32081.33,"4,830","4,825","838,585","19,174,292",4831.07
2022-08-23,2.500,2.250,3.272,3.352,2.760,"1,338.20","103,655","103,650","1,239,654","5,318,552",103628.38,"56,540","56,450","120,916",560,56529.46,"103,665","103,695","198,783",4,103674.69,"110,365","110,980","417,285","9,804",111142.72,"52,450","52,415","4,613",9,52349.06,"32,075","31,895","5,181,343","6,152,631",31964.15,"4,820","4,845","841,092","21,212,180",4853.42
2022-08-22,2.500,2.250,3.235,3.332,2.760,"1,326.70","103,670","103,655","1,233,184","4,806,106",103641.92,"56,545","56,575","121,184","60,519",56581.3,"103,565","103,615","198,630",51,103542.47,"112,000","111,140","417,886","12,636",111305.67,"52,370","52,375","4,609",59,52296.85,"32,375","32,300","5,340,805","5,786,119",32372.58,"4,770","4,785","835,461","22,056,170",4793.37
2022-08-19,2.500,2.250,3.192,3.302,2.760,"1,317.30","103,665","103,655","1,233,184","1,699,777",103654.2,"56,765","56,720","121,494","75,258",56639.89,"103,155","103,465","198,342",11,103410.57,"112,980","111,470","419,127","16,496",111571.31,"51,835","52,180","4,592",7,52144.74,"32,950","32,725","5,379,990","4,518,760",32774.79,"4,695","4,720","833,552","21,708,110",4726.93
2022-08-18,2.500,2.250,3.130,3.225,2.760,"1,309.80","103,655","103,660","1,231,895","1,008,960",103642.41,"56,790","56,765","121,591","1,884",56738.57,"103,185","103,225","197,882",4,103211.43,"112,550","112,305","422,267","8,252",112236.37,"51,820","51,845","4,562",8,51827.85,"32,865","32,915","5,412,872","7,571,930",32975.87,"4,710","4,690","868,119","20,654,351",4704.76
2022-08-17,2.500,2.250,3.085,3.180,2.760,"1,309.60","103,635","103,645","1,233,376","3,117,451",103641.69,"56,855","56,810","121,687","1,082",56801.25,"103,065","103,055","197,556",4,103087.58,"112,900","112,550","417,561","25,612",112625.48,"51,620","51,665","4,547",8,51656.95,"33,270","33,040","5,306,224","7,081,131",33085.78,"4,645","4,675","847,110","15,458,286",4683.84
2022-08-16,2.500,2.250,3.065,3.150,2.760,"1,303.10","103,620","103,625","1,240,909","2,740,323",103637.03,"56,760","56,865","121,577","2,842",56826.09,"103,250","103,045","197,537",44,103013.52,"111,955","112,900","418,859","52,068",112888.71,"51,840","51,575","4,539",8,51512.65,"33,350","33,210","5,386,662","6,804,788",33273.06,"4,635","4,655","875,140","15,495,241",4652.04
2022-08-12,2.500,2.250,3.177,3.277,2.760,"1,302.50","103,610","103,615","1,240,790","2,709,633",103614.34,"56,815","56,635","121,086","1,160",56649.4,"103,295","103,375","198,170",88,103369.27,"111,815","111,510","413,702","14,429",111712.01,"52,085","52,155","4,590",9,52095.97,"32,965","33,125","5,273,500","6,411,616",33163.92,"4,685","4,660","870,022","21,550,188",4670.66
2022-08-11,2.500,2.250,3.119,3.215,2.760,"1,309.10","103,585","103,610","1,246,946","1,599,395",103596.61,"56,725","56,730","121,289","2,202",56713.98,"103,195","103,260","197,949",4,103193.59,"113,485","111,980","415,446","17,852",112229.11,"51,780","51,930","4,570","2,098",51825.28,"32,830","33,000","5,365,800","6,979,981",33089.9,"4,705","4,680","874,692","33,440,879",4677.6
2022-08-10,2.500,2.250,3.150,3.200,2.760,"1,305.10","103,595","103,590","1,251,885","1,393,223",103585.02,"56,730","56,700","121,225",640,56680.23,"103,190","103,255","197,940",4,103263.66,"112,740","112,320","416,707","17,130",112359.33,"51,565","51,750","4,554",8,51755.96,"32,670","32,460","5,256,897","6,396,791",32532.92,"4,730","4,765","902,015","20,566,769",4760.78
2022-08-09,2.500,2.250,3.130,3.152,2.750,"1,304.80","103,585","103,580","1,251,764","2,905,845",103580.57,"56,740","56,735","121,299","2,039",56721.72,"103,125","103,200","193,190",4,103169.78,"113,980","112,755","418,321","16,981",112793.03,"51,565","51,600","4,541",8,51545.16,"32,750","32,845","5,279,834","6,100,712",32909.56,"4,720","4,705","883,129","24,174,624",4707.63
2022-08-08,2.500,2.250,3.127,3.170,2.750,"1,299.30","103,575","103,575","1,251,186","2,945,761",103571.67,"52,520","56,735","121,299","2,999",56719.46,"103,300","103,190","193,172","48,426",103154.28,"112,965","112,630","417,857","7,857",112630.05,"51,755","51,610","4,542",8,51618.04,"32,575","32,740","5,182,742","5,426,099",32821.43,"4,740","4,720","884,528","18,023,199",4727.22
2022-08-05,2.500,2.250,3.075,3.115,2.740,"1,309.70","103,560","103,570","1,250,608","2,033,212",103574.47,"56,765","56,805","121,449","1,718",56790.29,"103,060","103,030","222,236",4,103012.85,"113,560","112,965","419,100","11,564",113102.07,"51,460","51,440","4,527",83,51394.22,"32,685","32,800","5,205,360","6,228,446",32847.9,"4,725","4,705","872,778","23,678,210",4719.97
2022-08-04,2.500,2.250,3.120,3.155,2.740,"1,310.50","103,555","103,550","1,250,263","2,041,620",103546.79,"56,775","56,765","121,364",479,56703.99,"103,005","103,055","222,290",5,103143.04,"112,940","112,835","418,618","11,637",112700.18,"51,365","51,490","4,531",10,51564.22,"32,635","32,585","5,220,117","7,454,291",32644.77,"4,735","4,745","874,978","26,125,689",4742.74
2022-08-03,2.500,2.250,3.067,3.120,2.730,"1,307.20","103,545","103,525","1,249,961","2,028,582",103534.95,"56,695","56,775","121,385",506,56775.16,"103,110","103,065","222,311","285,014",103000.61,"113,290","112,940","419,007","14,878",113012.68,"51,620","51,475","4,530",7,51402.17,"32,210","32,420","5,248,798","5,553,911",32477.48,"4,800","4,765","876,760","26,995,340",4765.79
2022-08-02,2.500,2.250,3.005,3.075,2.730,"1,306.40","103,520","103,530","1,267,311","9,724",103526.03,"56,755","56,810","121,460","1,586",56859.15,"102,920","102,860","221,869",4,102840.33,"113,000","113,290","420,306","37,025",113412.85,"51,340","51,290","13,028",39,51227.21,"32,335","32,195","5,131,883","6,319,529",32261.75,"4,780","4,800","876,000","24,053,842",4805.37
2022-08-01,2.500,2.250,3.080,3.174,2.730,"1,298.60","103,505","103,505","1,269,075","1,639,637",103505.8,"56,760","56,700","118,957","4,929",56719.78,"103,055","103,100","202,488",4,103105.98,"112,935","112,580","423,301","27,957",112503.92,"51,635","51,680","13,127",59,51654.38,"32,305","32,370","5,172,726","6,077,218",32395.01,"4,780","4,775","872,870","31,944,830",4769.45
2022-07-29,2.500,2.250,2.998,3.125,2.730,"1,304.00","103,470","103,505","1,273,629","872,474",103510.24,"59,435","56,855","119,282","46,124",56839.99,"102,925","102,820","201,938",49,102858.25,"115,985","112,935","430,282","24,765",112962.11,"51,445","51,445","13,067","166,035",51465.75,"32,500","32,385","5,175,123","8,390,909",32429.29,"4,755","4,770","884,835","25,555,149",4776.06
2022-07-28,2.500,2.250,3.125,3.200,2.740,"1,312.80","103,475","103,485","1,273,072","2,033,595",103472.75,"56,760","56,605","118,757",874,56632.07,"103,065","103,240","198,634",4,103214.15,"113,045","112,345","422,417","25,772",112214.16,"51,425","51,735","13,141",57,51777.04,"32,345","32,245","5,152,751","7,307,853",32260,"4,780","4,795","888,034","20,150,453",4785.2
2022-07-27,1.750,2.250,3.080,3.115,2.680,"1,310.00","103,475","103,465","1,271,585","1,257,167",103471.22,"56,590","56,635","117,121","1,813",56693.54,"103,270","103,120","198,403","96,004",103089.97,"112,355","112,770","401,461","9,504",112964.15,"51,695","51,450","13,068",108,51422.94,"32,085","32,105","5,176,931","2,100,721",32070.83,"4,825","4,825","878,633","18,190,412",4823.24
2022-07-26,1.750,2.250,3.120,3.180,2.610,"1,311.00","103,470","103,470","1,271,646","2,771,977",103465.65,"56,595","56,590","117,028","30,285",56611.66,"103,335","103,245","198,643",110,103243.2,"112,065","112,410","400,180","11,853",112370.96,"51,850","51,685","13,128",8,51671.82,"31,870","32,095","5,196,181","2,281,501",32128.25,"4,855","4,820","884,470","28,021,713",4819.41
2022-07-25,1.750,2.250,3.150,3.207,2.590,"1,311.70","103,455","103,460","1,272,558","1,042,849",103462.95,"56,520","56,595","117,038",417,56574.45,"103,260","103,250","198,653",4,103285.49,"111,640","112,130","399,183","12,128",112112.01,"51,910","51,765","13,148",26,51792.6,"31,750","31,980","5,121,597","4,950,143",32000.49,"4,875","4,840","866,844","34,354,866",4840.34
2022-07-22,1.750,2.250,3.208,3.301,2.580,"1,312.10","103,435","103,450","1,271,607","401,263",103450.81,"56,450","56,490","116,821",644,56479.39,"103,415","103,440","199,019",9,103428.11,"111,150","111,300","391,776","11,982",111250.58,"52,105","52,180","13,254",8,52182.99,"31,985","31,855","5,155,732","6,243,090",31897.89,"4,840","4,860","881,118","27,638,882",4853.72
2022-07-21,1.750,2.250,3.296,3.370,2.580,"1,308.60","103,415","103,435","1,342,276","2,773,350",103421.36,"56,360","56,370","116,573","1,346",56333.89,"103,605","103,645","199,413",104,103665.89,"110,300","110,655","389,506","44,413",110595.85,"52,385","52,445","13,321",306,52481.61,"31,755","32,055","5,224,965","5,550,883",32132.85,"4,875","4,825","888,765","35,633,687",4844.19
2022-07-20,1.750,2.250,3.288,3.354,2.580,"1,314.90","103,420","103,415","1,350,910","401,715",103413.53,"55,815","56,360","116,552","6,399",56344.29,"103,440","103,685","199,490",5,103638.64,"108,080","110,685","389,611","21,387",110727.22,"52,130","52,450","13,322",8,52428.86,"31,985","31,710","5,152,875","6,810,248",31765.97,"4,835","4,880","929,152","29,039,312",4879.28
2022-07-19,1.750,2.250,3.185,3.245,2.580,"1,317.80","103,410","103,415","1,351,634","1,542,738",103421.21,"56,425","56,505","114,592","4,638",56510.91,"103,430","103,350","198,845",14,103319.81,"111,290","111,635","400,770","7,816",111729.93,"52,055","51,990","13,205",8,51924.21,"31,455","31,475","5,220,129","4,685,922",31554.67,"4,920","4,915","924,512","29,765,086",4923.28
2022-07-18,1.750,2.250,3.220,3.280,2.580,"1,323.70","103,400","103,395","1,351,269","2,109,895",103408.04,"56,500","56,505","114,592","35,031",56448.66,"103,370","103,375","198,894",14,103462.34,"111,780","111,605","405,126","11,906",111394.37,"51,965","52,035","13,217",129,52113.62,"31,205","31,580","5,292,808","7,193,533",31654.81,"4,960","4,900","920,220","46,765,159",4887.32
2022-07-15,1.750,2.250,3.191,3.222,2.580,"1,310.00","103,400","103,385","1,321,157","2,315,230",103400.66,"56,485","56,500","114,582","5,004",56496.08,"103,390","103,365","198,874",9,103357.64,"111,660","111,675","405,380","36,968",111863.11,"51,970","51,950","13,195",55,51891.97,"30,900","30,895","5,178,002","7,255,044",30957.54,"5,015","5,010","940,377","54,911,673",5017.17
